,station,date_only,hour,pollutant,error_type
2353,londonrdaurn,2014/07/13,12,NO,negative
2357,londonrdaurn,2014/07/13,12,NO,negative
2364,londonrdaurn,2014/07/13,13,NO,negative
2366,londonrdaurn,2014/07/13,13,NO,negative
2369,londonrdaurn,2014/07/13,13,NO,negative
2373,londonrdaurn,2014/07/13,13,NO,negative
2379,londonrdaurn,2014/07/13,14,NO,negative
2380,londonrdaurn,2014/07/13,14,NO,negative
2384,londonrdaurn,2014/07/13,14,NO,negative
2393,londonrdaurn,2014/07/13,15,NO,negative
2394,londonrdaurn,2014/07/13,15,NO,negative
2398,londonrdaurn,2014/07/13,15,NO,negative
2401,londonrdaurn,2014/07/13,15,NO,negative
2405,londonrdaurn,2014/07/13,16,NO,negative
2409,londonrdaurn,2014/07/13,16,NO,negative
2415,londonrdaurn,2014/07/13,16,NO,negative
2420,londonrdaurn,2014/07/13,17,NO,negative
2422,londonrdaurn,2014/07/13,17,NO,negative
2425,londonrdaurn,2014/07/13,17,NO,negative
2428,londonrdaurn,2014/07/13,17,NO,negative
2435,londonrdaurn,2014/07/13,18,NO,negative
2438,londonrdaurn,2014/07/13,18,NO,negative
